,DefaultProperty,Descriptor,Designation,DisciplineDescriptor,DisciplineId,FunctionName,HasChild,Location,ManagedType,Name,SubDisciplineDescriptor,SubDisciplineId,SubTypeDescriptor,SubTypeId,SystemId,TypeDescriptor,TypeId,ViewId,_links,Building,Area,Type,PointGroup,Equip,SubEquip1,SubEquip2,PointType
Project:GmsDevice_1_35_10,Present_Value,Brightness,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.LIG_1.B10'Area3for2'Lgt'BR'DetSen_1'Brgt,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Brightness,80,B10'Area3for2'Lgt'BR'DetSen_1'Brgt,Unassigned,0,Unassigned,0,1,Sensor,6700,9,[],B10,Area3for2,Lgt,BR,DetSen_1,,,Brgt
Project:GmsDevice_1_35_11,Present_Value,Brightness,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.LIG_1.B10'Area3for2'Lgt'BR'DetSen_2'Brgt,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Brightness,80,B10'Area3for2'Lgt'BR'DetSen_2'Brgt,Unassigned,0,Unassigned,0,1,Sensor,6700,9,[],B10,Area3for2,Lgt,BR,DetSen_2,,,Brgt
Project:GmsDevice_1_35_12,Present_Value,Brightness,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.LIG_1.B10'Area3for2'Lgt'BR'DetSen_3'Brgt,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Brightness,80,B10'Area3for2'Lgt'BR'DetSen_3'Brgt,Unassigned,0,Unassigned,0,1,Sensor,6700,9,[],B10,Area3for2,Lgt,BR,DetSen_3,,,Brgt
Project:GmsDevice_1_35_13,Present_Value,Brightness,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.LIG_1.B10'Area3for2'Lgt'BR'DetSen_4'Brgt,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Brightness,80,B10'Area3for2'Lgt'BR'DetSen_4'Brgt,Unassigned,0,Unassigned,0,1,Sensor,6700,9,[],B10,Area3for2,Lgt,BR,DetSen_4,,,Brgt
Project:GmsDevice_1_35_14,Present_Value,Brightness,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.LIG_1.B10'Area3for2'Lgt'BR'DetSen_5'Brgt,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Brightness,80,B10'Area3for2'Lgt'BR'DetSen_5'Brgt,Unassigned,0,Unassigned,0,1,Sensor,6700,9,[],B10,Area3for2,Lgt,BR,DetSen_5,,,Brgt
Project:GmsDevice_1_35_15,Present_Value,Brightness,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.LIG_1.B10'Area3for2'Lgt'BR'DetSen_6'Brgt,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Brightness,80,B10'Area3for2'Lgt'BR'DetSen_6'Brgt,Unassigned,0,Unassigned,0,1,Sensor,6700,9,[],B10,Area3for2,Lgt,BR,DetSen_6,,,Brgt
Project:GmsDevice_1_35_4,Present_Value,Brightness,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.LIG_1.B10'Area3for2'Lgt'HRD'DetSen_2'Brgt,Building Automation,50,SensorLux,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Brightness,80,B10'Area3for2'Lgt'HRD'DetSen_2'Brgt,Room Control,56,Lux,6708,1,Sensor,6700,9,[],B10,Area3for2,Lgt,HRD,DetSen_2,,,Brgt
Project:GmsDevice_1_35_5,Present_Value,Brightness,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.LIG_1.B10'Area3for2'Lgt'HRD'DetSen_1'Brgt,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Brightness,80,B10'Area3for2'Lgt'HRD'DetSen_1'Brgt,Unassigned,0,Unassigned,0,1,Sensor,6700,9,[],B10,Area3for2,Lgt,HRD,DetSen_1,,,Brgt
Project:GmsDevice_1_35_6,Present_Value,Brightness,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.LIG_1.B10'Area3for2'Lgt'HS'DetSen_2'Brgt,Building Automation,50,SensorLux,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Brightness,80,B10'Area3for2'Lgt'HS'DetSen_2'Brgt,Room Control,56,Lux,6708,1,Sensor,6700,9,[],B10,Area3for2,Lgt,HS,DetSen_2,,,Brgt
Project:GmsDevice_1_35_7,Present_Value,Brightness,Project.ManagementView:ManagementView.FieldNetworks.BACnet.Hardware.LIG_1.B10'Area3for2'Lgt'HS'DetSen_1'Brgt,Building Automation,50,,FALSE,Project.Management View:Project.Field Networks.BACnet.Hardware.Automation station.Brightness,80,B10'Area3for2'Lgt'HS'DetSen_1'Brgt,Unassigned,0,Unassigned,0,1,Sensor,6700,9,[],B10,Area3for2,Lgt,HS,DetSen_1,,,Brgt
